rootSeed,study,campaigns,steps,reactionMoves,stopResolutions,rolledChecks,noRollChecks,zeroLossRolls,lostPoints,zeroWorkingCohorts,weather,noRollReasons,terminals,canonicalMatrixHash,reportFingerprint
6,rules-lab.breakdown-truck.serial.v1,6,111,2,14,10,1,7,8,0,"{""hot"":3,""normal"":3}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:ffe98408e150b6c75691223f7cfcc8d4f981c1e0ee24e42c4d68216a2a12b983,sha256:d6859c33b1140e4b44b8e0723dfa2f4b45a7f003fb7803dfb3591bfe19c4fd39
6,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":1,""normal"":9,""rainstorm"":3}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:e1f79bcdbdaefdd40538efa63f37dcd96dde5c03ca413cf238a621027f6a5682,sha256:f15c2fc34930f89c528aba357002c74aa0af930cd449e360217b459c9b088ba5
7,rules-lab.breakdown-truck.serial.v1,6,111,2,14,10,1,4,11,0,"{""normal"":2,""rainstorm"":2,""sandstorm"":2}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:e0b3136f2db4727549f06bb33a25e8eb7b838b0c63b1732548cc6edcd1b58b2a,sha256:c676b6872abbbb788656ba89804592536bade388eae308c675593647a6c1476f
7,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":3,""normal"":8,""rainstorm"":1,""sandstorm"":1}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:8e2381d399d0665c6b3ebfcfb3845796a0edab366c6afafd2da9d4327fcc5f6a,sha256:c02fdde888c7ccebba8509ae999ea225c5ace315eec3d3a979f0ae5285f706ce
8,rules-lab.breakdown-truck.serial.v1,6,106,2,12,8,1,2,15,1,"{""hot"":3,""normal"":2,""rainstorm"":1}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:4a1e1e90e4090c5a3835d7790ccb7a061e9acc95e0f16c17a9745a5fef5e7550,sha256:42c41dbdb50891c480522e35692ae088c237953c2beeb0cc923d03b6b7543588
8,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":1,""normal"":7,""rainstorm"":5}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:a5da281cc72aa196d20c6ae45fd82c579a6f5c8b7a885803111987924094a7f5,sha256:d79e82792af728c147e4223bb1e0c134ea7cf1de4e08ca739127835281cfac34
9,rules-lab.breakdown-truck.serial.v1,6,111,2,14,10,1,4,16,0,"{""hot"":1,""normal"":5}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:18fbe27e040ebd2353c9c118c9f87f47f7afcbe694fb2d6e1e5adc814cd08526,sha256:7f7f88a876a7656c097ffeef845aee316c843474d87a95a9480145b6db9699b1
9,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":4,""normal"":7,""rainstorm"":1,""sandstorm"":1}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:eeda8f17637c1eeee7e679a36e269dca5edc8777aa1f13d93c51ba9188c15742,sha256:1e08450b4b6b831858d3fdb86cf01b4a500b213f8d09f4f5e200efb0a09c6c42
10,rules-lab.breakdown-truck.serial.v1,6,106,2,12,8,1,2,9,1,"{""normal"":5,""sandstorm"":1}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:4e51beb6e30a0a9c90027282a1896edeaa763802f2a252a23f044c69745f0857,sha256:3c26e5f666487d3ccdd63650965a070f03930fa16380f670c29eac4a9f804121
10,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":3,""normal"":7,""sandstorm"":3}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:ca35890eec8cca2c27a32ee6e4664cb056fa90b9b708d762e55a0721d652ae17,sha256:b6544b1a5f24157fe4c38f6ddec1d6278aff05a1e2203073775a00a082ee365a
11,rules-lab.breakdown-truck.serial.v1,6,111,2,14,10,1,3,14,1,"{""hot"":2,""normal"":4}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:68f0bf385062545f839456a5822b8664134b5bc3d654b19f8c50491b1ca2b5d1,sha256:c4171f4a4e6c1117cf377783aa5784077bcc8f33791aedb0712670fae4ff7c65
11,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":2,""normal"":9,""rainstorm"":1,""sandstorm"":1}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:758b314e8b2d5be76a5cda5ab9fb3ef0c52e41190bc862be024a3ecb4da36ae9,sha256:d7e295fc302bcbd93e4b4f2cc3b0efc9d8ad93fb06b2cccc61dc1cade4fccca4
12,rules-lab.breakdown-truck.serial.v1,6,111,2,14,10,1,6,6,1,"{""hot"":3,""normal"":1,""rainstorm"":2}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:ff8e13c877ba4388ba59df0e12f45a10593473c5ee2679df847f84a4761ae363,sha256:f874b7a19f0f300d1e8dc06c1698a3737750dfa25415b334d11d8e9db42f651a
12,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":3,""normal"":6,""rainstorm"":2,""sandstorm"":2}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:d40cda0abf2aafc29cf3fbe0b30ace231cbf51d9ee5543c2fc77cb1ec8130ac9,sha256:2cafa96f6f3afc8c9baa56c199882b06cf03d5e8d3ffa8a34e1d58a9e4a1a1e3
13,rules-lab.breakdown-truck.serial.v1,6,109,2,13,9,1,5,8,1,"{""hot"":2,""normal"":3,""rainstorm"":1}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:182014cd813e4b5029366c58b03cde88268dbd583cef95e36983d06dfd3ad679,sha256:bd013c130d1909217d61e825aa15086c199db689fb7fcd606751b9de7408bc09
13,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":3,""normal"":7,""sandstorm"":3}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:626425133cd00ede67156bfa09acdbf6ded7288222935cd6e98987bdc96a7c6e,sha256:99a62dfb436da87ec70a3619656b4073d1269791801feffeb790246abbdacd1a
14,rules-lab.breakdown-truck.serial.v1,6,109,2,13,9,1,3,11,1,"{""hot"":1,""normal"":4,""rainstorm"":1}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:d8cac96f31b957ce23145f42037d87eb219836f80a51426c532aee4fc75b416c,sha256:e091f2b4df31a2d7b0f2a9eba47be89473bca08aa0cf1e882e4f22727cbe36d0
14,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":1,""normal"":8,""rainstorm"":3,""sandstorm"":1}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:9c17d56b1b12f588f357c7d1caa70db2dde2eef3f73fe2a56f569463fa635575,sha256:85a82f4f2c3c3b0a79a316dc29e64c3a81fb2cab979be8e0520cc834ab9f8518
15,rules-lab.breakdown-truck.serial.v1,6,111,2,14,10,1,5,14,0,"{""hot"":3,""normal"":1,""sandstorm"":2}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:0f5ce7c55f8afb342a708a487ab3eca9ce498669ef87e6c469f272d2603014be,sha256:a6a43adf3d180ddac5b028b7ef3e5f2039ed1ce31d846506673382f43842333e
15,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":3,""normal"":7,""rainstorm"":3}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:3594ce29140a596cf08c3b860c3bf83f34c5489a347d98d1a858f2ad76e0abd9,sha256:80c53a97d8d9ac2d94fbe0b0e73736a018e53c22ae5276241c39dd5049abc5e0
